page_url,wrestler_id,wrestler,start_date,end_date,event,weight_c,round,opponent,school,result,score_details,winner_name,outcome,record,raw_details,created_at_utc
https://www.trackwrestling.com/seasons/WrestlerMatches.jsp?TIM=1761945162951&twSessionId=csxlguiedi&wrestlerId=29820968132,29820968132,Jaden Armenta,12/07/2024,,Pueblo Central Invitaional,113,Varsity,,Pueblo Central Invitaional,bye,Bye,Jaden Armenta,W,1-0-0 W-L-T,Varsity - Champ. Round 1 - Jaden Armenta (Air Academy) received a bye,2025-11-02T04:39:12.260Z
https://www.trackwrestling.com/seasons/WrestlerMatches.jsp?TIM=1761945162951&twSessionId=csxlguiedi&wrestlerId=29820968132,29820968132,Jaden Armenta,12/07/2024,,Pueblo Central Invitaional,113,Varsity,Danek Lewis,Woodland Park,over,TF 16-0 2:09,Jaden Armenta,W,2-0-0 W-L-T,Varsity - Quarterfinals - Jaden Armenta (Air Academy) over Danek Lewis (Woodland Park) (TF 16-0 2:09),2025-11-02T04:39:12.260Z
https://www.trackwrestling.com/seasons/WrestlerMatches.jsp?TIM=1761945162951&twSessionId=csxlguiedi&wrestlerId=29820968132,29820968132,Jaden Armenta,12/07/2024,,Pueblo Central Invitaional,113,Varsity,Joseph Gamez,Pueblo Central Invitaional,over,Dec 3-1,Joseph Gamez,L,2-1-0 W-L-T,Varsity - Semifinals - Joseph Gamez (La Junta) over Jaden Armenta (Air Academy) (Dec 3-1),2025-11-02T04:39:12.260Z
https://www.trackwrestling.com/seasons/WrestlerMatches.jsp?TIM=1761945162951&twSessionId=csxlguiedi&wrestlerId=29820968132,29820968132,Jaden Armenta,12/07/2024,,Pueblo Central Invitaional,113,Varsity,Matthew Torres,Pueblo Central Invitaional,over,M. For.,Matthew Torres,L,2-2-0 W-L-T,Varsity - Cons. Semis - Matthew Torres (Air Academy) over Jaden Armenta (Air Academy) (M. For.),2025-11-02T04:39:12.260Z
https://www.trackwrestling.com/seasons/WrestlerMatches.jsp?TIM=1761945162951&twSessionId=csxlguiedi&wrestlerId=29820968132,29820968132,Jaden Armenta,01/11/2025,,Pueblo Centennial Invitational,106,Varsity,Tristan Tomlinson,James Irwin Charter,over,TF 17-2 2:54,Jaden Armenta,W,3-2-0 W-L-T,Varsity - Champ. Round 1 - Jaden Armenta (Air Academy) over Tristan Tomlinson (James Irwin Charter) (TF 17-2 2:54),2025-11-02T04:39:12.260Z
https://www.trackwrestling.com/seasons/WrestlerMatches.jsp?TIM=1761945162951&twSessionId=csxlguiedi&wrestlerId=29820968132,29820968132,Jaden Armenta,01/11/2025,,Pueblo Centennial Invitational,106,Varsity,Alex Herburger,Pueblo Centennial Invitational,over,Dec 4-3,Alex Herburger,L,3-3-0 W-L-T,Varsity - Quarterfinals - Alex Herburger (Pueblo East) over Jaden Armenta (Air Academy) (Dec 4-3),2025-11-02T04:39:12.260Z
https://www.trackwrestling.com/seasons/WrestlerMatches.jsp?TIM=1761945162951&twSessionId=csxlguiedi&wrestlerId=29820968132,29820968132,Jaden Armenta,01/11/2025,,Pueblo Centennial Invitational,106,Varsity,Austin Shepard,Pueblo South,over,Fall 0:31,Jaden Armenta,W,4-3-0 W-L-T,Varsity - Cons. Round 2 - Jaden Armenta (Air Academy) over Austin Shepard (Pueblo South) (Fall 0:31),2025-11-02T04:39:12.260Z
https://www.trackwrestling.com/seasons/WrestlerMatches.jsp?TIM=1761945162951&twSessionId=csxlguiedi&wrestlerId=29820968132,29820968132,Jaden Armenta,01/11/2025,,Pueblo Centennial Invitational,106,Varsity,Michael Montano,Pueblo South,over,Fall 1:00,Jaden Armenta,W,5-3-0 W-L-T,Varsity - Cons. Round 3 - Jaden Armenta (Air Academy) over Michael Montano (Pueblo South) (Fall 1:00),2025-11-02T04:39:12.260Z
https://www.trackwrestling.com/seasons/WrestlerMatches.jsp?TIM=1761945162951&twSessionId=csxlguiedi&wrestlerId=29820968132,29820968132,Jaden Armenta,01/11/2025,,Pueblo Centennial Invitational,106,Varsity,Joseph Gamez,La Junta,over,Dec 14-11,Jaden Armenta,W,6-3-0 W-L-T,Varsity - Cons. Semis - Jaden Armenta (Air Academy) over Joseph Gamez (La Junta) (Dec 14-11),2025-11-02T04:39:12.260Z
https://www.trackwrestling.com/seasons/WrestlerMatches.jsp?TIM=1761945162951&twSessionId=csxlguiedi&wrestlerId=29820968132,29820968132,Jaden Armenta,01/11/2025,,Pueblo Centennial Invitational,106,Varsity,Jared Roberts,Cedaredge,over,Fall 4:57,Jaden Armenta,W,7-3-0 W-L-T,Varsity - 3rd Place Match - Jaden Armenta (Air Academy) over Jared Roberts (Cedaredge) (Fall 4:57),2025-11-02T04:39:12.260Z
